price,nome,prazo,platform
26970,Edição Deluxe de Tales of Arise PS4 and PS5,2022-07-21T06:59:00Z,PS4
5980,The Dark Pictures Anthology: Little Hope,2022-07-21T06:59:00Z,PS4
4770,The Dark Pictures Anthology: Man of Medan,2022-07-21T06:59:00Z,PS4
5980,The Dark Pictures Anthology: Little Hope,2022-07-21T06:59:00Z,PS4
4770,The Dark Pictures Anthology: Man of Medan,2022-07-21T06:59:00Z,PS4
4990,The Sinking City,2022-07-21T06:59:00Z,PS4
2235,The Surge,2022-07-14T06:59:00Z,PS4
5083,The Surge 2,2022-07-21T06:59:00Z,PS4
5083,The Surge 2,2022-07-21T06:59:00Z,PS4
6596,Chocobo's Mystery Dungeon EVERY BUDDY!,2022-07-21T06:59:00Z,PS4
2145,Gnomes Garden 3: The thief of castles&Doodle God,2022-07-21T06:59:00Z,PS4
1345,Gnomes Garden 3: The thief of castles,2022-07-21T06:59:00Z,PS4
12475,Trials of Mana,2022-07-21T06:59:00Z,PS4
3580,Ultimate Marvel vs. Capcom 3,2022-07-14T06:59:00Z,PS4
3980,WATCH DOGS 2,2022-07-21T06:59:00Z,PS4
16496,Bundle Assassin’s Creed Valhalla + Watch Dogs: Legion,2022-07-21T06:59:00Z,PS4
3980,WATCH DOGS 2,2022-07-21T06:59:00Z,PS4
2087,Yakuza 0,2022-07-21T06:59:00Z,PS4
